time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T13:00:14Z,85922.345000,42.628263,
2025-05-08T13:00:15Z,82624.000000,43.749249,
2025-05-08T13:00:16Z,58292.000000,33.293598,
2025-05-08T13:00:17Z,71162.000000,40.110728,
2025-05-08T13:00:18Z,65536.000000,35.171250,
2025-05-08T13:00:19Z,63687.000000,31.584953,
2025-05-08T13:00:20Z,80344.000000,39.960240,
2025-05-08T13:00:21Z,80001.000000,47.119941,
2025-05-08T13:00:22Z,64381.000000,31.587893,
2025-05-08T13:00:23Z,72223.000000,39.519261,
2025-05-08T13:00:24Z,72007.000000,35.424602,
2025-05-08T13:00:25Z,57491.000000,34.570953,
2025-05-08T13:00:26Z,61780.000000,31.533528,
2025-05-08T13:00:27Z,73154.000000,34.924034,
2025-05-08T13:00:28Z,69333.000000,37.040068,
2025-05-08T13:00:29Z,71551.000000,42.165258,
2025-05-08T13:00:30Z,65208.000000,34.883310,
2025-05-08T13:00:31Z,74056.000000,36.107136,
2025-05-08T13:00:32Z,59632.000000,36.517595,
2025-05-08T13:00:33Z,76802.000000,40.164951,
2025-05-08T13:00:34Z,62462.000000,34.942334,
2025-05-08T13:00:35Z,68652.000000,37.658321,
2025-05-08T13:00:36Z,83594.000000,41.110561,
2025-05-08T13:00:37Z,94978.000000,49.496591,
2025-05-08T13:00:38Z,90599.000000,49.314629,
2025-05-08T13:00:39Z,79761.000000,44.576282,
2025-05-08T13:00:40Z,65321.000000,36.068969,
2025-05-08T13:00:41Z,97006.000000,48.816584,
2025-05-08T13:00:42Z,84294.000000,46.547255,
2025-05-08T13:00:43Z,99354.000000,52.141788,
