time,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users]
2025-04-29T17:27:52Z,66051.000000,73.052703,
2025-04-29T17:27:53Z,100000.000000,73.057185,
2025-04-29T17:27:54Z,100002.000000,48.908166,
2025-04-29T17:27:55Z,65869.000000,60.689426,
2025-04-29T17:27:56Z,84131.000000,73.068917,
2025-04-29T17:27:57Z,100000.000000,73.102102,
2025-04-29T17:27:58Z,100001.000000,61.962276,
2025-04-29T17:27:59Z,85049.000000,55.295476,
2025-04-29T17:28:00Z,64952.000000,65.478425,
2025-04-29T17:28:01Z,100002.000000,73.110693,
2025-04-29T17:28:02Z,90147.000000,48.894912,
2025-04-29T17:28:03Z,85345.000000,64.088033,
2025-04-29T17:28:04Z,74785.000000,71.085423,
2025-04-29T17:28:05Z,99726.000000,73.640804,
2025-04-29T17:28:06Z,100002.000000,73.646644,
2025-04-29T17:28:07Z,99697.000000,54.890826,
2025-04-29T17:28:08Z,73875.000000,56.019000,
2025-04-29T17:28:09Z,76429.000000,73.228917,
2025-04-29T17:28:10Z,100002.000000,73.696939,
2025-04-29T17:28:11Z,100000.000000,73.678087,
2025-04-29T17:28:12Z,90618.000000,50.696342,
2025-04-29T17:28:13Z,83325.000000,59.812126,
2025-04-29T17:28:14Z,76060.000000,73.666430,
2025-04-29T17:28:15Z,100001.000000,73.670812,
2025-04-29T17:28:16Z,100000.000000,72.939110,
2025-04-29T17:28:17Z,98633.000000,59.149431,
2025-04-29T17:28:18Z,61802.000000,53.903944,
2025-04-29T17:28:19Z,89567.000000,71.891455,
2025-04-29T17:28:20Z,100000.000000,73.663351,
2025-04-29T17:28:21Z,100000.000000,58.260141,
2025-04-29T17:28:22Z,83415.000000,62.372552,
2025-04-29T17:28:23Z,66588.000000,63.471068,
2025-04-29T17:28:24Z,0.000000,0.000000,
2025-04-29T17:28:25Z,0.000000,0.000000,
2025-04-29T17:28:26Z,0.000000,0.000000,
2025-04-29T17:28:27Z,0.000000,0.000000,
2025-04-29T17:28:28Z,0.000000,0.000000,
2025-04-29T17:28:29Z,0.000000,0.000000,
2025-04-29T17:28:30Z,0.000000,0.000000,
2025-04-29T17:28:31Z,0.000000,0.000000,
2025-04-29T17:28:32Z,0.000000,0.000000,
2025-04-29T17:28:33Z,0.000000,0.000000,
2025-04-29T17:28:34Z,0.000000,0.000000,
2025-04-29T17:28:35Z,0.000000,0.000000,
2025-04-29T17:28:36Z,0.000000,0.000000,
2025-04-29T17:28:37Z,0.000000,0.000000,
2025-04-29T17:28:38Z,0.000000,0.000000,
2025-04-29T17:28:39Z,0.000000,0.000000,
2025-04-29T17:28:40Z,0.000000,0.000000,
2025-04-29T17:28:41Z,0.000000,0.000000,
2025-04-29T17:28:42Z,0.000000,0.000000,
2025-04-29T17:28:43Z,0.000000,0.000000,
2025-04-29T17:28:44Z,0.000000,0.000000,
2025-04-29T17:28:45Z,0.000000,0.000000,
2025-04-29T17:28:46Z,0.000000,0.000000,
2025-04-29T17:28:47Z,0.000000,0.000000,
2025-04-29T17:28:48Z,0.000000,0.000000,
2025-04-29T17:28:49Z,0.000000,0.000000,
2025-04-29T17:28:50Z,0.000000,0.000000,
2025-04-29T17:28:51Z,0.000000,0.000000,
2025-04-29T17:28:52Z,0.000000,0.000000,
2025-04-29T17:28:53Z,0.000000,0.000000,
2025-04-29T17:28:54Z,0.000000,0.000000,
2025-04-29T17:28:55Z,0.000000,0.000000,
2025-04-29T17:28:56Z,0.000000,0.000000,
2025-04-29T17:28:57Z,0.000000,0.000000,
2025-04-29T17:28:58Z,0.000000,0.000000,
2025-04-29T17:28:59Z,0.000000,0.000000,
2025-04-29T17:29:00Z,0.000000,0.000000,
2025-04-29T17:29:01Z,0.000000,0.000000,
2025-04-29T17:29:02Z,0.000000,0.000000,
2025-04-29T17:29:03Z,0.000000,0.000000,
2025-04-29T17:29:04Z,0.000000,0.000000,
2025-04-29T17:29:05Z,0.000000,0.000000,
2025-04-29T17:29:06Z,0.000000,0.000000,
2025-04-29T17:29:07Z,0.000000,0.000000,
2025-04-29T17:29:08Z,0.000000,0.000000,
2025-04-29T17:29:09Z,0.000000,0.000000,
2025-04-29T17:29:10Z,0.000000,0.000000,
2025-04-29T17:29:11Z,0.000000,0.000000,
2025-04-29T17:29:12Z,0.000000,0.000000,
2025-04-29T17:29:13Z,0.000000,0.000000,
2025-04-29T17:29:14Z,0.000000,0.000000,
2025-04-29T17:29:15Z,0.000000,0.000000,
2025-04-29T17:29:16Z,0.000000,0.000000,
2025-04-29T17:29:17Z,0.000000,0.000000,
2025-04-29T17:29:18Z,0.000000,0.000000,
