time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-05-08T13:22:41Z,64945.917285,0.746722,
2025-05-08T13:22:42Z,75530.000000,0.822240,
2025-05-08T13:22:43Z,90157.000000,1.210026,
2025-05-08T13:22:44Z,80486.000000,1.009214,
2025-05-08T13:22:45Z,93880.000000,1.106738,
2025-05-08T13:22:46Z,98265.000000,1.084017,
2025-05-08T13:22:47Z,93793.000000,1.252852,
2025-05-08T13:22:48Z,86193.000000,1.172939,
2025-05-08T13:22:49Z,90714.000000,1.112473,
2025-05-08T13:22:50Z,100423.000000,1.231477,
2025-05-08T13:22:51Z,97386.000000,1.193616,
2025-05-08T13:22:52Z,99330.000000,1.024648,
2025-05-08T13:22:53Z,89889.000000,1.301848,
2025-05-08T13:22:54Z,97753.000000,1.200293,
2025-05-08T13:22:55Z,95996.000000,1.093853,
2025-05-08T13:22:56Z,97573.000000,1.180297,
2025-05-08T13:22:57Z,86856.000000,1.170437,
2025-05-08T13:22:58Z,99573.000000,1.223571,
2025-05-08T13:22:59Z,103264.000000,1.056891,
2025-05-08T13:23:00Z,86753.000000,1.278887,
2025-05-08T13:23:01Z,95362.000000,1.055816,
2025-05-08T13:23:02Z,90325.000000,1.224629,
2025-05-08T13:23:03Z,97443.000000,1.197569,
2025-05-08T13:23:04Z,98298.000000,1.207103,
2025-05-08T13:23:05Z,96699.000000,1.187607,
2025-05-08T13:23:06Z,104370.000000,1.164677,
2025-05-08T13:23:07Z,94548.000000,1.170120,
2025-05-08T13:23:08Z,96344.000000,1.294375,
2025-05-08T13:23:09Z,102855.000000,1.262542,
2025-05-08T13:23:10Z,86996.000000,0.974893,
2025-05-08T13:23:11Z,93798.000000,1.247931,
2025-05-08T13:23:12Z,100182.000000,1.231442,
2025-05-08T13:23:13Z,96545.000000,1.068163,
2025-05-08T13:23:14Z,96975.000000,1.308985,
2025-05-08T13:23:15Z,86072.000000,1.058413,
2025-05-08T13:23:16Z,101056.000000,1.241319,
2025-05-08T13:23:17Z,96297.000000,1.098902,
2025-05-08T13:23:18Z,90616.000000,1.131390,
2025-05-08T13:23:19Z,102260.000000,1.217352,
2025-05-08T13:23:20Z,90787.000000,1.221829,
2025-05-08T13:23:21Z,98179.000000,1.200337,
2025-05-08T13:23:22Z,84761.000000,1.047496,
2025-05-08T13:23:23Z,96606.000000,1.187321,
2025-05-08T13:23:24Z,95052.000000,1.167662,
2025-05-08T13:23:25Z,94919.000000,1.165526,
2025-05-08T13:23:26Z,95786.000000,1.176406,
2025-05-08T13:23:27Z,95864.000000,1.177527,
2025-05-08T13:23:28Z,101280.000000,1.179020,
2025-05-08T13:23:29Z,90291.000000,1.124626,
2025-05-08T13:23:30Z,98848.000000,1.103368,
2025-05-08T13:23:31Z,87353.000000,1.236991,
2025-05-08T13:23:32Z,98023.000000,1.206039,
2025-05-08T13:23:33Z,101245.000000,1.146533,
2025-05-08T13:23:34Z,100458.000000,1.143543,
2025-05-08T13:23:35Z,86692.000000,1.255034,
2025-05-08T13:23:36Z,99530.000000,1.037329,
2025-05-08T13:23:37Z,85053.000000,1.232710,
2025-05-08T13:23:38Z,97102.000000,1.192918,
2025-05-08T13:23:39Z,97364.000000,1.196434,
2025-05-08T13:23:40Z,97030.000000,1.083337,
2025-05-08T13:23:41Z,88104.000000,1.111550,
2025-05-08T13:23:42Z,92343.000000,1.214509,
2025-05-08T13:23:43Z,103459.000000,1.115229,
2025-05-08T13:23:44Z,93392.000000,1.303295,
2025-05-08T13:23:45Z,93904.000000,1.035442,
2025-05-08T13:23:46Z,90620.000000,1.232498,
2025-05-08T13:23:47Z,102187.000000,1.198515,
2025-05-08T13:23:48Z,90032.000000,1.086841,
2025-05-08T13:23:49Z,91178.000000,1.161644,
2025-05-08T13:23:50Z,83405.000000,1.063671,
2025-05-08T13:23:51Z,89536.000000,1.100067,
2025-05-08T13:23:52Z,101505.000000,1.084364,
2025-05-08T13:23:53Z,92069.000000,1.115935,
2025-05-08T13:23:54Z,82971.000000,1.198803,
2025-05-08T13:23:55Z,94834.000000,0.990714,
2025-05-08T13:23:56Z,87331.000000,1.246908,
2025-05-08T13:23:57Z,89602.000000,1.100646,
2025-05-08T13:23:58Z,92127.000000,1.132247,
2025-05-08T13:23:59Z,91551.000000,1.043276,
2025-05-08T13:24:00Z,90540.000000,1.195058,
2025-05-08T13:24:01Z,97232.000000,1.001389,
2025-05-08T13:24:02Z,90418.000000,1.124974,
2025-05-08T13:24:03Z,82937.000000,1.201120,
2025-05-08T13:24:04Z,102306.000000,1.094254,
2025-05-08T13:24:05Z,85626.000000,1.216442,
2025-05-08T13:24:06Z,89273.000000,1.096244,
2025-05-08T13:24:07Z,99930.000000,1.062575,
2025-05-08T13:24:08Z,86061.000000,1.222757,
2025-05-08T13:24:09Z,98020.000000,1.031489,
2025-05-08T13:24:10Z,84206.000000,1.205214,
2025-05-08T13:24:11Z,88717.000000,1.091392,
2025-05-08T13:24:12Z,98840.000000,1.051056,
2025-05-08T13:24:13Z,89194.000000,1.158072,
2025-05-08T13:24:14Z,94131.000000,1.259329,
2025-05-08T13:24:15Z,100020.000000,1.117881,
2025-05-08T13:24:16Z,92116.000000,1.164926,
2025-05-08T13:24:17Z,93211.000000,1.224067,
2025-05-08T13:24:18Z,96292.000000,1.182266,
2025-05-08T13:24:19Z,95497.000000,1.173464,
2025-05-08T13:24:20Z,93461.000000,1.147883,
2025-05-08T13:24:21Z,93279.000000,0.991789,
2025-05-08T13:24:22Z,95727.000000,1.207967,
2025-05-08T13:24:23Z,93179.000000,1.265130,
2025-05-08T13:24:24Z,93845.000000,1.076740,
2025-05-08T13:24:25Z,92793.000000,1.220148,
2025-05-08T13:24:26Z,103332.000000,1.080502,
2025-05-08T13:24:27Z,85294.000000,1.237972,
2025-05-08T13:24:28Z,104898.000000,1.155519,
2025-05-08T13:24:29Z,95199.000000,1.304317,
2025-05-08T13:24:30Z,82687.000000,1.017066,
2025-05-08T13:24:31Z,99066.000000,1.217278,
2025-05-08T13:24:32Z,96462.000000,1.093237,
2025-05-08T13:24:33Z,86366.000000,1.153281,
2025-05-08T13:24:34Z,104212.000000,1.148421,
2025-05-08T13:24:35Z,86485.000000,1.198711,
2025-05-08T13:24:36Z,96380.000000,1.185105,
2025-05-08T13:24:37Z,96613.000000,1.187209,
2025-05-08T13:24:38Z,97947.000000,1.203208,
