test,tool,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka],msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
pg-to-kafka-cdc,conduit,62412.55,1.53,1.53,62343.58,42.03,,138.46,279.81,,
pg-to-kafka-cdc,kafka-connect,,,,31954.53,82.00,,,,116.98,1416.77
