time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-04-02T11:51:47+02:00,50000.000000,33.388324,
2025-04-02T11:51:48+02:00,60000.000000,40.169126,
2025-04-02T11:51:49+02:00,60000.000000,44.618753,
2025-04-02T11:51:50+02:00,60000.000000,42.414797,
2025-04-02T11:51:51+02:00,60000.000000,40.169645,
2025-04-02T11:51:52+02:00,61275.000000,40.140838,
2025-04-02T11:51:53+02:00,68725.000000,40.112698,
2025-04-02T11:51:54+02:00,60000.000000,40.113241,
2025-04-02T11:51:55+02:00,60000.000000,43.280733,
2025-04-02T11:51:56+02:00,60000.000000,43.707478,
2025-04-02T11:51:57+02:00,70000.000000,40.131673,
2025-04-02T11:51:58+02:00,60000.000000,40.170149,
2025-04-02T11:51:59+02:00,60000.000000,40.170941,
2025-04-02T11:52:00+02:00,60000.000000,46.865027,
2025-04-02T11:52:01+02:00,60000.000000,40.141866,
2025-04-02T11:52:02+02:00,56877.000000,33.694729,
2025-04-02T11:52:03+02:00,63123.000000,40.571168,
2025-04-02T11:52:04+02:00,60000.000000,40.570731,
2025-04-02T11:52:05+02:00,60000.000000,40.551610,
2025-04-02T11:52:06+02:00,60000.000000,40.513778,
2025-04-02T11:52:07+02:00,60000.000000,40.571185,
2025-04-02T11:52:08+02:00,60000.000000,47.285279,
2025-04-02T11:52:09+02:00,60000.000000,40.542336,
2025-04-02T11:52:10+02:00,70000.000000,40.571640,
2025-04-02T11:52:11+02:00,50000.000000,40.570467,
2025-04-02T11:52:12+02:00,60000.000000,40.571170,
2025-04-02T11:52:13+02:00,60000.000000,40.570829,
2025-04-02T11:52:14+02:00,70000.000000,40.571442,
2025-04-02T11:52:15+02:00,60000.000000,40.571565,
2025-04-02T11:52:16+02:00,60000.000000,44.463427,
2025-04-02T11:52:17+02:00,70000.000000,43.440577,
2025-04-02T11:52:18+02:00,60000.000000,40.570706,
2025-04-02T11:52:19+02:00,60000.000000,40.572304,
2025-04-02T11:52:20+02:00,60060.060060,40.610698,
2025-04-02T11:52:21+02:00,59940.059940,40.530056,
2025-04-02T11:52:22+02:00,60000.000000,40.982957,
2025-04-02T11:52:23+02:00,60000.000000,46.921494,
2025-04-02T11:52:24+02:00,70000.000000,40.570967,
2025-04-02T11:52:25+02:00,60000.000000,40.571336,
2025-04-02T11:52:26+02:00,60000.000000,40.571059,
2025-04-02T11:52:27+02:00,60000.000000,40.570839,
2025-04-02T11:52:28+02:00,60000.000000,40.571207,
2025-04-02T11:52:29+02:00,60000.000000,47.332966,
2025-04-02T11:52:30+02:00,60000.000000,40.532886,
2025-04-02T11:52:31+02:00,60000.000000,40.533290,
2025-04-02T11:52:32+02:00,70000.000000,40.571150,
2025-04-02T11:52:33+02:00,60000.000000,40.570960,
2025-04-02T11:52:34+02:00,60060.060060,46.065562,
2025-04-02T11:52:35+02:00,60000.000000,41.883708,
2025-04-02T11:52:36+02:00,60000.000000,40.571422,
2025-04-02T11:52:37+02:00,59940.059940,40.531033,
2025-04-02T11:52:38+02:00,67165.000000,40.571256,
2025-04-02T11:52:39+02:00,52887.887888,40.611465,
2025-04-02T11:52:40+02:00,66925.000000,40.571341,
2025-04-02T11:52:41+02:00,63011.988012,40.530670,
2025-04-02T11:52:42+02:00,60060.060060,40.612301,
2025-04-02T11:52:43+02:00,59940.059940,40.530915,
2025-04-02T11:52:44+02:00,60060.060060,40.612169,
2025-04-02T11:52:45+02:00,59940.059940,40.530979,
2025-04-02T11:52:46+02:00,60000.000000,47.332946,
2025-04-02T11:52:47+02:00,67326.326326,40.613162,
2025-04-02T11:52:48+02:00,62741.000000,40.571054,
2025-04-02T11:52:49+02:00,59940.059940,42.773137,
2025-04-02T11:52:50+02:00,60060.060060,45.133490,
2025-04-02T11:52:51+02:00,69930.069930,40.531621,
2025-04-02T11:52:52+02:00,60060.060060,40.611479,
2025-04-02T11:52:53+02:00,60000.000000,47.333401,
2025-04-02T11:52:54+02:00,59940.059940,40.531492,
2025-04-02T11:52:55+02:00,67139.000000,40.571486,
