test,tool,msg-rate-in-per-second[mysql.testdb.users],msg-megabytes-in-per-second[mysql.testdb.users],msg-megabytes-out-per-second[mysql.testdb.users],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
mysql-to-kafka-cdc,conduit,46095.13,32.38,,161.55,468.99,,
mysql-to-kafka-cdc,kafka-connect,51098.30,22.57,,,,136.12,2397.09
