time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-04-02T13:21:14+02:00,29958.000000,75.225311,
2025-04-02T13:21:15+02:00,31632.000000,81.309711,
2025-04-02T13:21:16+02:00,31410.000000,80.695126,
2025-04-02T13:21:17+02:00,33402.000000,85.289155,
2025-04-02T13:21:18+02:00,29382.000000,75.317499,
2025-04-02T13:21:19+02:00,29628.000000,75.962814,
2025-04-02T13:21:20+02:00,30870.000000,78.851368,
2025-04-02T13:21:21+02:00,31344.000000,80.618302,
2025-04-02T13:21:22+02:00,31416.000000,80.403197,
2025-04-02T13:21:23+02:00,32604.000000,83.353209,
2025-04-02T13:21:24+02:00,31272.000000,80.387833,
