time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-04-02T16:11:25+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:26+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:27+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:28+02:00,49659.000000,1.239777,1.239777
2025-04-02T16:11:29+02:00,50341.000000,1.487732,1.239777
2025-04-02T16:11:30+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:31+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:32+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:33+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:34+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:35+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:36+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:37+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:38+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:39+02:00,54849.000000,1.487732,1.239777
2025-04-02T16:11:40+02:00,55151.000000,1.487732,1.487732
2025-04-02T16:11:41+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:42+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:43+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:44+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:45+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:46+02:00,60000.000000,1.487732,1.487732
2025-04-02T16:11:47+02:00,60000.000000,1.239777,1.487732
2025-04-02T16:11:48+02:00,50000.000000,1.487732,1.239777
2025-04-02T16:11:49+02:00,50000.000000,1.239777,1.239777
