time,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees]
2025-04-02T16:11:40+02:00,60000.000000,4.112654,
2025-04-02T16:11:41+02:00,50000.000000,4.104058,
2025-04-02T16:11:42+02:00,60000.000000,4.049309,
2025-04-02T16:11:43+02:00,60000.000000,3.500364,
2025-04-02T16:11:44+02:00,60000.000000,4.120408,
2025-04-02T16:11:45+02:00,60000.000000,4.114900,
2025-04-02T16:11:46+02:00,50000.000000,4.119514,
2025-04-02T16:11:47+02:00,60000.000000,3.426411,
2025-04-02T16:11:48+02:00,50000.000000,4.119204,
2025-04-02T16:11:49+02:00,60000.000000,3.430563,
