test,tool,msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect],msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
pg-to-kafka-snapshot,conduit,60710.46,41.03,,138.28,295.02,,,61465.87,1.51,1.51
pg-to-kafka-snapshot,kafka-connect,,,,,,89.02,1553.15,,,
