time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-05-08T13:59:49Z,0.000000,,
2025-05-08T13:59:50Z,0.000000,,
2025-05-08T13:59:51Z,0.000000,,
2025-05-08T13:59:52Z,0.000000,,
2025-05-08T13:59:53Z,0.000000,,
2025-05-08T13:59:54Z,0.000000,,
2025-05-08T13:59:55Z,0.000000,,
2025-05-08T13:59:56Z,0.000000,,
2025-05-08T13:59:57Z,0.000000,,
2025-05-08T13:59:58Z,0.000000,,
2025-05-08T13:59:59Z,0.000000,,
2025-05-08T14:00:00Z,0.000000,,
2025-05-08T14:00:01Z,0.000000,,
2025-05-08T14:00:02Z,0.000000,,
2025-05-08T14:00:03Z,0.000000,,
2025-05-08T14:00:04Z,0.000000,,
2025-05-08T14:00:05Z,0.000000,,
2025-05-08T14:00:06Z,0.000000,,
2025-05-08T14:00:07Z,0.000000,,
2025-05-08T14:00:08Z,0.000000,,
2025-05-08T14:00:09Z,0.000000,,
2025-05-08T14:00:10Z,0.000000,,
2025-05-08T14:00:11Z,0.000000,,
2025-05-08T14:00:12Z,0.000000,,
2025-05-08T14:00:13Z,0.000000,,
2025-05-08T14:00:14Z,0.000000,,
2025-05-08T14:00:15Z,0.000000,,
2025-05-08T14:00:16Z,0.000000,,
2025-05-08T14:00:17Z,0.000000,,
2025-05-08T14:00:18Z,0.000000,,
2025-05-08T14:00:19Z,0.000000,,
2025-05-08T14:00:20Z,0.000000,,
2025-05-08T14:00:21Z,0.000000,,
2025-05-08T14:00:22Z,0.000000,,
2025-05-08T14:00:23Z,0.000000,,
2025-05-08T14:00:24Z,0.000000,,
2025-05-08T14:00:25Z,0.000000,,
2025-05-08T14:00:26Z,0.000000,,
2025-05-08T14:00:27Z,0.000000,,
2025-05-08T14:00:28Z,0.000000,,
2025-05-08T14:00:29Z,0.000000,,
2025-05-08T14:00:30Z,0.000000,,
2025-05-08T14:00:31Z,0.000000,,
2025-05-08T14:00:32Z,0.000000,,
2025-05-08T14:00:33Z,0.000000,,
2025-05-08T14:00:34Z,0.000000,,
2025-05-08T14:00:35Z,0.000000,,
2025-05-08T14:00:36Z,0.000000,,
2025-05-08T14:00:37Z,0.000000,,
2025-05-08T14:00:38Z,11390.000000,,
2025-05-08T14:00:39Z,96372.078500,,
2025-05-08T14:00:40Z,143195.000000,,
2025-05-08T14:00:41Z,128758.000000,,
2025-05-08T14:00:42Z,143700.000000,,
2025-05-08T14:00:43Z,141594.000000,,
2025-05-08T14:00:44Z,139383.000000,,
2025-05-08T14:00:45Z,144548.000000,,
2025-05-08T14:00:46Z,134127.000000,,
2025-05-08T14:00:47Z,136227.000000,,
2025-05-08T14:00:48Z,141466.000000,,
2025-05-08T14:00:49Z,143535.000000,,
2025-05-08T14:00:50Z,131712.000000,,
2025-05-08T14:00:51Z,144033.000000,,
2025-05-08T14:00:52Z,129372.000000,,
2025-05-08T14:00:53Z,137151.000000,,
2025-05-08T14:00:54Z,140438.000000,,
2025-05-08T14:00:55Z,138601.000000,,
2025-05-08T14:00:56Z,147663.000000,,
2025-05-08T14:00:57Z,135636.000000,,
2025-05-08T14:00:58Z,134565.000000,,
2025-05-08T14:00:59Z,145538.000000,,
2025-05-08T14:01:00Z,140213.000000,,
2025-05-08T14:01:01Z,134757.000000,,
2025-05-08T14:01:02Z,144946.000000,,
2025-05-08T14:01:03Z,131861.000000,,
2025-05-08T14:01:04Z,144195.000000,,
2025-05-08T14:01:05Z,131577.000000,,
2025-05-08T14:01:06Z,144502.000000,,
2025-05-08T14:01:07Z,139710.000000,,
2025-05-08T14:01:08Z,120000.000000,,
2025-05-08T14:01:09Z,143128.000000,,
2025-05-08T14:01:10Z,143747.000000,,
2025-05-08T14:01:11Z,143281.000000,,
2025-05-08T14:01:12Z,143306.000000,,
2025-05-08T14:01:13Z,134053.000000,,
2025-05-08T14:01:14Z,139995.000000,,
2025-05-08T14:01:15Z,137329.000000,,
2025-05-08T14:01:16Z,140560.000000,,
2025-05-08T14:01:17Z,132733.000000,,
2025-05-08T14:01:18Z,142453.000000,,
2025-05-08T14:01:19Z,142983.000000,,
2025-05-08T14:01:20Z,137043.000000,,
2025-05-08T14:01:21Z,139303.000000,,
2025-05-08T14:01:22Z,140071.000000,,
2025-05-08T14:01:23Z,134285.000000,,
2025-05-08T14:01:24Z,143648.000000,,
2025-05-08T14:01:25Z,134978.000000,,
2025-05-08T14:01:26Z,141512.000000,,
2025-05-08T14:01:27Z,133980.000000,,
2025-05-08T14:01:28Z,133668.000000,,
2025-05-08T14:01:29Z,142990.000000,,
2025-05-08T14:01:30Z,141073.000000,,
2025-05-08T14:01:31Z,131351.000000,,
2025-05-08T14:01:32Z,144650.000000,,
2025-05-08T14:01:33Z,136065.000000,,
2025-05-08T14:01:34Z,140058.000000,,
2025-05-08T14:01:35Z,143395.000000,,
2025-05-08T14:01:36Z,135193.000000,,
2025-05-08T14:01:37Z,142241.000000,,
2025-05-08T14:01:38Z,141073.000000,,
2025-05-08T14:01:39Z,136167.000000,,
2025-05-08T14:01:40Z,140504.000000,,
2025-05-08T14:01:41Z,136448.000000,,
2025-05-08T14:01:42Z,144013.000000,,
2025-05-08T14:01:43Z,132078.000000,,
2025-05-08T14:01:44Z,130000.000000,,
2025-05-08T14:01:45Z,144542.000000,,
2025-05-08T14:01:46Z,141333.000000,,
2025-05-08T14:01:47Z,141409.000000,,
