test,tool,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka],msg-rate-in-per-second[postgres.public.employees],msg-megabytes-in-per-second[postgres.public.employees],msg-megabytes-out-per-second[postgres.public.employees],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
pg-to-kafka-snapshot,conduit,60000.00,1.47,1.45,60200.71,40.51,,138.22,287.24,,
pg-to-kafka-snapshot,kafka-connect,,,,31629.62,80.97,,,,109.37,1220.12
