test,tool,msg-rate-per-second[kafka-to-snowflake],msg-megabytes-in-per-second[kafka-to-snowflake],msg-megabytes-out-per-second[kafka-to-snowflake],msg-rate-in-per-second[snowflake.test.users],msg-megabytes-in-per-second[snowflake.test.users],msg-megabytes-out-per-second[snowflake.test.users],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],cpu-percentage[benchi-kafka-connect],memory-usage[benchi-kafka-connect]
kafka-snowflake,conduit,1989.47,0.14,0.18,260969.15,23.53,0.14,62.45,1010.40,,
kafka-snowflake,kafka-connect,,,,257486.83,23.25,6.73,,,142.30,1254.04
